,mean,std
encoder,0.37312425139001787,3.4368088096490084
masknet,4.589791539529997,2.244338273196091
decoder,0.015165447020099237,0.11057749153588756
total,4.978081237940114,5.791545413845043
loading,0.00862332745005915,0.028536168146187178
