,mean,std
encoder,0.04223046444996726,0.12699273655724835
masknet,4.515375688190006,2.8247601451425264
decoder,0.01100840163002431,0.08421272664362421
total,4.568614554269998,3.035832151919384
loading,0.018258284089970402,0.11510136854522177
